"mbeanName","attributeName","attributeType","compositeAttributeName"
"java.lang:name=PS Eden Space,type=MemoryPool","CollectionUsage","javax.management.openmbean.CompositeData","committed"
"java.lang:name=PS Eden Space,type=MemoryPool","CollectionUsage","javax.management.openmbean.CompositeData","init"
"java.lang:name=PS Eden Space,type=MemoryPool","CollectionUsage","javax.management.openmbean.CompositeData","max"
"java.lang:name=PS Eden Space,type=MemoryPool","CollectionUsage","javax.management.openmbean.CompositeData","used"
"java.lang:name=PS Eden Space,type=MemoryPool","CollectionUsageThreshold","long"
"java.lang:name=PS Eden Space,type=MemoryPool","CollectionUsageThresholdCount","long"
"java.lang:name=PS Eden Space,type=MemoryPool","MemoryManagerNames","[Ljava.lang.String;"
"java.lang:name=PS Eden Space,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","committed"
"java.lang:name=PS Eden Space,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","init"
"java.lang:name=PS Eden Space,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","max"
"java.lang:name=PS Eden Space,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","used"
"java.lang:name=PS Eden Space,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","committed"
"java.lang:name=PS Eden Space,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","init"
"java.lang:name=PS Eden Space,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","max"
"java.lang:name=PS Eden Space,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","used"
"java.lang:name=PS Eden Space,type=MemoryPool","UsageThreshold","long"
"java.lang:name=PS Eden Space,type=MemoryPool","UsageThresholdCount","long"
"java.lang:name=PS Eden Space,type=MemoryPool","CollectionUsageThresholdExceeded","boolean"
"java.lang:name=PS Eden Space,type=MemoryPool","CollectionUsageThresholdSupported","boolean"
"java.lang:name=PS Eden Space,type=MemoryPool","UsageThresholdExceeded","boolean"
"java.lang:name=PS Eden Space,type=MemoryPool","UsageThresholdSupported","boolean"
"java.lang:name=PS Eden Space,type=MemoryPool","ObjectName","javax.management.ObjectName"
"JMImplementation:type=MBeanServerDelegate","MBeanServerId","java.lang.String"
"JMImplementation:type=MBeanServerDelegate","SpecificationName","java.lang.String"
"JMImplementation:type=MBeanServerDelegate","SpecificationVersion","java.lang.String"
"JMImplementation:type=MBeanServerDelegate","SpecificationVendor","java.lang.String"
"JMImplementation:type=MBeanServerDelegate","ImplementationName","java.lang.String"
"JMImplementation:type=MBeanServerDelegate","ImplementationVersion","java.lang.String"
"JMImplementation:type=MBeanServerDelegate","ImplementationVendor","java.lang.String"
"java.lang:type=Runtime","Name","java.lang.String"
"java.lang:type=Runtime","ClassPath","java.lang.String"
"java.lang:type=Runtime","SystemProperties","javax.management.openmbean.TabularData"
"java.lang:type=Runtime","VmName","java.lang.String"
"java.lang:type=Runtime","VmVendor","java.lang.String"
"java.lang:type=Runtime","VmVersion","java.lang.String"
"java.lang:type=Runtime","BootClassPathSupported","boolean"
"java.lang:type=Runtime","InputArguments","[Ljava.lang.String;"
"java.lang:type=Runtime","ManagementSpecVersion","java.lang.String"
"java.lang:type=Runtime","SpecName","java.lang.String"
"java.lang:type=Runtime","SpecVendor","java.lang.String"
"java.lang:type=Runtime","SpecVersion","java.lang.String"
"java.lang:type=Runtime","StartTime","long"
"java.lang:type=Runtime","BootClassPath","java.lang.String"
"java.lang:type=Runtime","LibraryPath","java.lang.String"
"java.lang:type=Runtime","Uptime","long"
"java.lang:type=Runtime","ObjectName","javax.management.ObjectName"
"java.lang:type=Threading","ThreadAllocatedMemoryEnabled","boolean"
